"n","BioComment","JRH_Final_Ref_Cod","DataSource","UID"
2,"PRO","Int","VDEQ_BUG","5AOTR004.21"
2,"PRO","Int","VDEQ_BUG","5AOTR008.07"
2,"PRO","Ref","VDEQ_BUG","5AOTR008.07"
2,"PRO","Ref","VDEQ_BUG","5AROW007.62"
2,"PRO","Str","VDEQ_BUG","5AROW007.62"
2,"PRO","Str","VDEQ_BUG","5ASRE002.12"
2,"PRO","Str","VDEQ_BUG","5ASRE002.12"
2,"PRO","Int","VDEQ_BUG","5AXNOTC000.04"
2,"PRO","Ref","VDEQ_BUG","5AXNOTC000.04"
2,"PRO","Int","VDEQ_BUG","7-CAV001.62"
2,"PRO","Int","VDEQ_BUG","7-CAV001.62"
2,"PRO","Ref","VDEQ_BUG","7-CMS002.00"
2,"PRO","Str","VDEQ_BUG","7-CMS002.00"
2,"PRO","Int","VDEQ_BUG","7-DRN010.48"
2,"PRO","Int","VDEQ_BUG","7-DRN010.48"
2,"PRO","Str","VDEQ_BUG","7-DYM003.52"
2,"PRO","Str","VDEQ_BUG","7-DYM003.52"
3,"PRO","Int","VDEQ_BUG","7-XCY000.46"
3,"TRO","Ref","Drew Report","7-XCY000.46"
3,"PRO","Ref","VDEQ_BUG","7-XCY000.46"
2,"PRO","Ref","VDEQ_BUG","7-XEQ000.85"
2,"PRO","Str","VDEQ_BUG","7-XEQ000.85"
2,"PRO","Int","VDEQ_BUG","7-XFB000.26"
2,"PRO","Int","VDEQ_BUG","7-XFB000.26"
2,"PRO","Int","VDEQ_BUG","8-AYL002.27"
2,"PRO","Int","VDEQ_BUG","8-AYL002.27"
2,"PRO","Int","VDEQ_BUG","8-BLC002.88"
2,"PRO","Int","VDEQ_BUG","8-BLC002.88"
2,"PRO","Int","VDEQ_BUG","8-FTS001.98"
2,"PRO","Str","VDEQ_BUG","8-FTS001.98"
2,"PRO","Int","VDEQ_BUG","8-JKC005.80"
2,"PRO","Int","VDEQ_BUG","8-JKC005.80"
2,"PRO","Int","VDEQ_BUG","8-LDN001.19"
2,"PRO","Ref","VDEQ_BUG","8-LDN001.19"
2,"PRO","Int","VDEQ_BUG","8-MHX000.27"
2,"PRO","Int","VDEQ_BUG","8-MHX000.27"
2,"PRO","Int","VDEQ_BUG","8-mpn043.76"
2,"PRO","Ref","VDEQ_BUG","8-mpn043.76"
2,"NRO","Int","VDEQ_BUG","8-MTA001.69"
2,"NRO","Ref","VDEQ_BUG","8-MTA001.69"
2,"PRO","Int","VDEQ_BUG","8-PMK088.14"
2,"PRO","Ref","VDEQ_BUG","8-PMK088.14"
2,"PRO","Int","VDEQ_BUG","8-TST001.35"
2,"PRO","Int","VDEQ_BUG","8-TST001.35"
